23  9650    9664
23  9781    9789
24  9219    9228
24  9352    9356
25  9107    9140
25  9194    9196
26  8510    8530
26  8661    8675
27  8255    8272
27  8390    8442
27  8512    8526
28  7942    7955
28  7995    8028
28  8082    8137
29  7628    7641
29  7715    7735
29  7942    7949
30  7374    7390
30  7494    7528
30  7623    7646
31  7377    7390
32  6961    6969
32  7061    7071
32  7146    7148
33  6962    6971
41  5400    5405
42  5275    5277
44  5031    5038
44  5042    5044
44  5046    5047
45  4918    4932
46  4812    4830
47  4707    4728
48  4607    4645
48  4798    4802
49  4515    4546
50  4425    4457
51  4340    4377
52  4254    4299
53  4174    4217
53  4343    4349
54  4097    4146
54  4259    4268
55  4021    4075
55  4171    4191
56  3950    4013
56  4090    4116
57  3850    3958
57  4015    4043
